i,A,B,gcd,modulus operations,t1,t1Units,t2,t2Units
8,5,8,1,4,3.842,us,3.943,us
9,5,8,1,4,4.099,us,46.568,us
10,5,8,1,4,4.691,us,14.69,us
11,8,11,1,4,5.782,us,12.732,us
12,8,11,1,4,6.768,us,13.162,us
13,8,13,1,5,7.978,us,14.131,us
14,8,13,1,5,9.495,us,15.573,us
15,8,13,1,5,10.402,us,16.543,us
16,8,13,1,5,12.032,us,18.754,us
17,8,13,1,5,13.669,us,19.933,us
18,13,18,1,5,15.455,us,21.857,us
19,13,18,1,5,17.662,us,24.142,us
20,13,18,1,5,19.593,us,26.213,us
21,13,21,1,6,21.171,us,27.727,us
22,13,21,1,6,23.515,us,29.956,us
23,13,21,1,6,26.034,us,32.5,us
24,13,21,1,6,28.234,us,34.679,us
25,13,21,1,6,31.538,us,37.993,us
26,13,21,1,6,34.264,us,40.641,us
27,13,21,1,6,36.877,us,43.292,us
28,13,21,1,6,39.262,us,45.618,us
29,21,29,1,6,43.582,us,49.9,us
30,21,29,1,6,45.396,us,51.954,us
31,21,29,1,6,49.929,us,56.261,us
32,21,29,1,6,53.636,us,59.977,us
33,21,29,1,6,56.391,us,62.817,us
34,21,34,1,7,60.631,us,67.012,us
35,21,34,1,7,64.717,us,71.054,us
36,21,34,1,7,68.121,us,74.555,us
37,21,34,1,7,92.57,us,99.069,us
38,21,34,1,7,77.17,us,86.263,us
39,21,34,1,7,81.669,us,88.52,us
40,21,34,1,7,86.89,us,93.831,us
41,21,34,1,7,92.622,us,99.129,us
42,21,34,1,7,96.918,us,103.554,us
43,21,34,1,7,101.682,us,108.776,us
44,21,34,1,7,106.762,us,113.484,us
45,21,34,1,7,114.318,us,121.006,us
46,21,34,1,7,117.872,us,124.409,us
47,34,47,1,7,124.905,us,131.603,us
48,34,47,1,7,130.164,us,136.854,us
49,34,47,1,7,135.595,us,142.317,us
50,34,47,1,7,142.114,us,148.738,us
51,34,47,1,7,148.906,us,155.577,us
52,34,47,1,7,154.802,us,161.509,us
53,34,47,1,7,162.938,us,169.55,us
54,34,47,1,7,169.478,us,176.154,us
55,34,55,1,8,176.746,us,183.295,us
56,34,55,1,8,181.406,us,187.912,us
57,34,55,1,8,190.594,us,197.089,us
58,34,55,1,8,198.157,us,204.767,us
59,34,55,1,8,205.871,us,212.329,us
60,34,55,1,8,213.689,us,220.297,us
61,34,55,1,8,221.79,us,228.419,us
62,34,55,1,8,229.523,us,236.155,us
63,34,55,1,8,245.861,us,252.363,us
64,34,55,1,8,232.438,us,241.471,us
65,34,55,1,8,241.381,us,247.946,us
66,34,55,1,8,248.977,us,255.44,us
67,34,55,1,8,259.51,us,265.717,us
68,34,55,1,8,268.284,us,274.558,us
69,34,55,1,8,277.305,us,283.437,us
70,34,55,1,8,281.215,us,287.447,us
71,34,55,1,8,295.446,us,301.613,us
72,34,55,1,8,299.73,us,305.832,us
73,34,55,1,8,311.579,us,317.735,us
74,34,55,1,8,321.968,us,328.115,us
75,34,55,1,8,331.32,us,337.463,us
76,55,76,1,8,340.359,us,346.559,us
77,55,76,1,8,354.465,us,360.505,us
78,55,76,1,8,362.207,us,369.398,us
79,55,76,1,8,371.395,us,377.683,us
80,55,76,1,8,380.426,us,386.672,us
81,55,76,1,8,390.808,us,396.973,us
82,55,76,1,8,403.062,us,409.321,us
83,55,76,1,8,415.399,us,421.487,us
84,55,76,1,8,423.143,us,429.279,us
85,55,76,1,8,436.718,us,442.932,us
86,55,76,1,8,452.513,us,458.565,us
87,55,76,1,8,460.093,us,467.657,us
88,55,76,1,8,471.247,us,477.72,us
89,55,89,1,9,485.694,us,491.996,us
90,55,89,1,9,494.215,us,500.439,us
91,55,89,1,9,507.109,us,513.353,us
92,55,89,1,9,516.879,us,523.13,us
93,55,89,1,9,531.264,us,537.508,us
94,55,89,1,9,554.826,us,561.082,us
95,55,89,1,9,525.627,us,533.94,us
96,55,89,1,9,540.311,us,546.451,us
97,55,89,1,9,552.486,us,558.427,us
98,55,89,1,9,562.048,us,567.921,us
99,55,89,1,9,573.969,us,579.812,us
100,55,89,1,9,586.125,us,591.995,us
101,55,89,1,9,606.312,us,612.338,us
102,55,89,1,9,613.689,us,620.623,us
103,55,89,1,9,635.111,us,641.169,us
104,55,89,1,9,639.995,us,646.564,us
105,55,89,1,9,652.72,us,658.784,us
106,55,89,1,9,667.248,us,673.219,us
107,55,89,1,9,691.102,us,696.953,us
108,55,89,1,9,695.086,us,701.916,us
109,55,89,1,9,713.359,us,719.398,us
110,55,89,1,9,725.951,us,731.847,us
111,55,89,1,9,738.827,us,744.817,us
112,55,89,1,9,754.228,us,760.23,us
113,55,89,1,9,763.388,us,769.342,us
114,55,89,1,9,748.016,us,755.65,us
115,55,89,1,9,761.596,us,767.541,us
116,55,89,1,9,777.556,us,783.353,us
117,55,89,1,9,789.353,us,795.01,us
118,55,89,1,9,804.946,us,810.559,us
119,55,89,1,9,821.955,us,828.368,us
120,55,89,1,9,837.106,us,842.839,us
121,55,89,1,9,851.116,us,856.898,us
122,55,89,1,9,865.727,us,871.53,us
123,89,123,1,9,879.725,us,885.485,us
124,89,123,1,9,895.21,us,901.673,us
125,89,123,1,9,913.598,us,919.433,us
126,89,123,1,9,926.659,us,932.377,us
127,89,123,1,9,942.025,us,950.747,us
128,89,123,1,9,915.991,us,923.969,us
129,89,123,1,9,926.947,us,932.738,us
130,89,123,1,9,945.495,us,950.888,us
131,89,123,1,9,963.362,us,968.574,us
132,89,123,1,9,976.158,us,982.25,us
133,89,123,1,9,996.69,us,1.00228,ms
134,89,123,1,9,1.01502,ms,1.02024,ms
135,89,123,1,9,1.02703,ms,1.03163,ms
136,89,123,1,9,1.04297,ms,1.04814,ms
137,89,123,1,9,1.0636,ms,1.06824,ms
138,89,123,1,9,1.07637,ms,1.0807,ms
139,89,123,1,9,1.08539,ms,1.08971,ms
140,89,123,1,9,1.05549,ms,1.06131,ms
141,89,123,1,9,1.08092,ms,1.08522,ms
142,89,123,1,9,1.08831,ms,1.0926,ms
143,89,123,1,9,1.10808,ms,1.11225,ms
144,89,144,1,10,1.12084,ms,1.12552,ms
145,89,144,1,10,1.13923,ms,1.14351,ms
146,89,144,1,10,1.15965,ms,1.16399,ms
147,89,144,1,10,1.17574,ms,1.18053,ms
148,89,144,1,10,1.19074,ms,1.1951,ms
149,89,144,1,10,1.21421,ms,1.21845,ms
150,89,144,1,10,1.19669,ms,1.20087,ms
151,89,144,1,10,1.19159,ms,1.19707,ms
152,89,144,1,10,1.20738,ms,1.21144,ms
153,89,144,1,10,1.22868,ms,1.2328,ms
154,89,144,1,10,1.24316,ms,1.24767,ms
155,89,144,1,10,1.26221,ms,1.26632,ms
156,89,144,1,10,1.27887,ms,1.28289,ms
157,89,144,1,10,1.30124,ms,1.3057,ms
158,89,144,1,10,1.32008,ms,1.32418,ms
159,89,144,1,10,1.3318,ms,1.3359,ms
160,89,144,1,10,1.29615,ms,1.30132,ms
161,89,144,1,10,1.31155,ms,1.31551,ms
162,89,144,1,10,1.32792,ms,1.33187,ms
163,89,144,1,10,1.34804,ms,1.35237,ms
164,89,144,1,10,1.36817,ms,1.37209,ms
165,89,144,1,10,1.38388,ms,1.38777,ms
166,89,144,1,10,1.4022,ms,1.4065,ms
167,89,144,1,10,1.42508,ms,1.42901,ms
168,89,144,1,10,1.4229,ms,1.42672,ms
169,89,144,1,10,1.4009,ms,1.40587,ms
170,89,144,1,10,1.41829,ms,1.42212,ms
171,89,144,1,10,1.44266,ms,1.44643,ms
172,89,144,1,10,1.45437,ms,1.45853,ms
173,89,144,1,10,1.48012,ms,1.48389,ms
174,89,144,1,10,1.50147,ms,1.50523,ms
175,89,144,1,10,1.51842,ms,1.52253,ms
176,89,144,1,10,1.52108,ms,1.52483,ms
177,89,144,1,10,1.49153,ms,1.4964,ms
178,89,144,1,10,1.50893,ms,1.51259,ms
179,89,144,1,10,1.53426,ms,1.53783,ms
180,89,144,1,10,1.54162,ms,1.54558,ms
181,89,144,1,10,1.56704,ms,1.57069,ms
182,89,144,1,10,1.58282,ms,1.58679,ms
183,89,144,1,10,1.60237,ms,1.60599,ms
184,89,144,1,10,1.59241,ms,1.596,ms
185,89,144,1,10,1.57506,ms,1.57981,ms
186,89,144,1,10,1.59546,ms,1.59907,ms
187,89,144,1,10,1.61954,ms,1.62351,ms
188,89,144,1,10,1.63119,ms,1.63467,ms
189,89,144,1,10,1.65751,ms,1.66093,ms
190,89,144,1,10,1.66963,ms,1.67353,ms
191,89,144,1,10,1.69241,ms,1.69596,ms
192,89,144,1,10,1.64668,ms,1.65209,ms
193,89,144,1,10,1.66428,ms,1.66786,ms
194,89,144,1,10,1.68485,ms,1.68818,ms
195,89,144,1,10,1.70479,ms,1.70857,ms
196,89,144,1,10,1.72618,ms,1.72959,ms
197,89,144,1,10,1.74415,ms,1.74798,ms
198,89,144,1,10,1.76418,ms,1.76755,ms
199,144,199,1,10,1.72145,ms,1.7258,ms
200,144,199,1,10,1.73811,ms,1.74149,ms
201,144,199,1,10,1.7606,ms,1.76388,ms
202,144,199,1,10,1.78159,ms,1.78519,ms
203,144,199,1,10,1.79475,ms,1.79812,ms
204,144,199,1,10,1.81526,ms,1.81892,ms
205,144,199,1,10,1.81887,ms,1.82207,ms
206,144,199,1,10,1.79287,ms,1.79712,ms
207,144,199,1,10,1.81663,ms,1.81983,ms
208,144,199,1,10,1.83543,ms,1.8389,ms
209,144,199,1,10,1.85676,ms,1.85993,ms
210,144,199,1,10,1.86403,ms,1.86748,ms
211,144,199,1,10,1.88589,ms,1.88902,ms
212,144,199,1,10,1.85541,ms,1.85862,ms
213,144,199,1,10,1.86123,ms,1.86527,ms
214,144,199,1,10,1.8905,ms,1.89355,ms
215,144,199,1,10,1.90464,ms,1.90891,ms
216,144,199,1,10,1.95497,ms,1.95809,ms
217,144,199,1,10,1.93705,ms,1.94115,ms
218,144,199,1,10,1.93031,ms,1.93342,ms
219,144,199,1,10,1.91516,ms,1.91919,ms
220,144,199,1,10,1.93471,ms,1.93768,ms
221,144,199,1,10,1.95158,ms,1.95496,ms
222,144,199,1,10,1.97606,ms,1.97903,ms
223,144,199,1,10,1.99231,ms,1.99556,ms
224,144,199,1,10,1.9968,ms,1.99977,ms
225,144,199,1,10,1.96952,ms,1.97336,ms
226,144,199,1,10,1.99104,ms,1.99397,ms
227,144,199,1,10,2.00915,ms,2.01228,ms
228,144,199,1,10,2.02999,ms,2.03288,ms
229,144,199,1,10,2.05123,ms,2.05441,ms
230,144,199,1,10,2.04327,ms,2.04612,ms
231,144,199,1,10,2.02499,ms,2.02879,ms
232,144,199,1,10,2.04501,ms,2.04786,ms
233,144,233,1,11,2.06687,ms,2.07014,ms
234,144,233,1,11,2.082,ms,2.08703,ms
235,144,233,1,11,2.102,ms,2.10544,ms
236,144,233,1,11,2.08903,ms,2.09196,ms
237,144,233,1,11,2.07958,ms,2.08338,ms
238,144,233,1,11,2.09732,ms,2.10008,ms
239,144,233,1,11,2.11761,ms,2.12057,ms
240,144,233,1,11,2.13793,ms,2.14067,ms
241,144,233,1,11,2.16033,ms,2.16331,ms
242,144,233,1,11,2.11583,ms,2.11939,ms
243,144,233,1,11,2.13387,ms,2.13653,ms
244,144,233,1,11,2.15488,ms,2.15773,ms
245,144,233,1,11,2.17291,ms,2.17559,ms
246,144,233,1,11,2.18996,ms,2.19279,ms
247,144,233,1,11,2.19192,ms,2.19455,ms
248,144,233,1,11,2.16572,ms,2.16909,ms
249,144,233,1,11,2.18613,ms,2.18874,ms
250,144,233,1,11,2.21244,ms,2.21526,ms
251,144,233,1,11,2.23082,ms,2.23336,ms
252,144,233,1,11,2.24813,ms,2.25095,ms
253,144,233,1,11,2.20524,ms,2.20855,ms
254,144,233,1,11,2.22731,ms,2.22981,ms
255,144,233,1,11,2.24328,ms,2.246,ms
256,144,233,1,11,2.26687,ms,2.26944,ms
